"","time","sim.num","sim.num.g2","s.num","i.num","num","s.num.g2","i.num.g2","num.g2","si.flow","si.flow.g2"
"1",1,250,250,248,2,250,247,3,250,NA,NA
"2",2,250,250,247.666666666667,2.33333333333333,250,246.111111111111,3.88888888888889,250,0.333333333333333,0.888888888888889
"3",3,250,250,246.666666666667,3.33333333333333,250,244.111111111111,5.88888888888889,250,1,2
"4",4,250,250,245.666666666667,4.33333333333333,250,242.777777777778,7.22222222222222,250,1,1.33333333333333
"5",5,250,250,244.888888888889,5.11111111111111,250,240.666666666667,9.33333333333333,250,0.777777777777778,2.11111111111111
"6",6,250,250,244,6,250,238.222222222222,11.7777777777778,250,0.888888888888889,2.44444444444444
"7",7,250,250,242.555555555556,7.44444444444444,250,236.333333333333,13.6666666666667,250,1.44444444444444,1.88888888888889
"8",8,250,250,240.888888888889,9.11111111111111,250,233.111111111111,16.8888888888889,250,1.66666666666667,3.22222222222222
"9",9,250,250,238.222222222222,11.7777777777778,250,230,20,250,2.66666666666667,3.11111111111111
"10",10,250,250,235.666666666667,14.3333333333333,250,226.222222222222,23.7777777777778,250,2.55555555555556,3.77777777777778
"11",11,250,250,232.555555555556,17.4444444444444,250,222.333333333333,27.6666666666667,250,3.11111111111111,3.88888888888889
"12",12,250,250,228.888888888889,21.1111111111111,250,216.333333333333,33.6666666666667,250,3.66666666666667,6
"13",13,250,250,223.888888888889,26.1111111111111,250,210.111111111111,39.8888888888889,250,5,6.22222222222222
"14",14,250,250,219.666666666667,30.3333333333333,250,201.666666666667,48.3333333333333,250,4.22222222222222,8.44444444444444
"15",15,250,250,213.666666666667,36.3333333333333,250,192.555555555556,57.4444444444444,250,6,9.11111111111111
"16",16,250,250,207.555555555556,42.4444444444444,250,184.111111111111,65.8888888888889,250,6.11111111111111,8.44444444444444
"17",17,250,250,199.555555555556,50.4444444444444,250,172.666666666667,77.3333333333333,250,8,11.4444444444444
"18",18,250,250,191.777777777778,58.2222222222222,250,162.555555555556,87.4444444444444,250,7.77777777777778,10.1111111111111
"19",19,250,250,184.555555555556,65.4444444444444,250,152.111111111111,97.8888888888889,250,7.22222222222222,10.4444444444444
"20",20,250,250,174.444444444444,75.5555555555556,250,138.777777777778,111.222222222222,250,10.1111111111111,13.3333333333333
"21",21,250,250,162.555555555556,87.4444444444444,250,125.222222222222,124.777777777778,250,11.8888888888889,13.5555555555556
"22",22,250,250,152.111111111111,97.8888888888889,250,111.555555555556,138.444444444444,250,10.4444444444444,13.6666666666667
"23",23,250,250,139.777777777778,110.222222222222,250,98.8888888888889,151.111111111111,250,12.3333333333333,12.6666666666667
"24",24,250,250,128.222222222222,121.777777777778,250,85.7777777777778,164.222222222222,250,11.5555555555556,13.1111111111111
