"","time","sim.num","s.num","i.num","num","si.flow"
"1",1,500,495,5,500,NA
"2",2,500,494.5,5.5,500,0.5
"3",3,500,493.5,6.5,500,1
"4",4,500,492.333333333333,7.66666666666667,500,1.16666666666667
"5",5,500,491.5,8.5,500,0.833333333333333
"6",6,500,490.833333333333,9.16666666666667,500,0.666666666666667
"7",7,500,489.333333333333,10.6666666666667,500,1.5
"8",8,500,487.666666666667,12.3333333333333,500,1.66666666666667
"9",9,500,485.833333333333,14.1666666666667,500,1.83333333333333
"10",10,500,483.666666666667,16.3333333333333,500,2.16666666666667
"11",11,500,481.5,18.5,500,2.16666666666667
"12",12,500,477.666666666667,22.3333333333333,500,3.83333333333333
"13",13,500,474.666666666667,25.3333333333333,500,3
"14",14,500,471.166666666667,28.8333333333333,500,3.5
"15",15,500,467.5,32.5,500,3.66666666666667
"16",16,500,462.166666666667,37.8333333333333,500,5.33333333333333
"17",17,500,456,44,500,6.16666666666667
"18",18,500,448.833333333333,51.1666666666667,500,7.16666666666667
"19",19,500,441.666666666667,58.3333333333333,500,7.16666666666667
"20",20,500,433.5,66.5,500,8.16666666666667
"21",21,500,424.666666666667,75.3333333333333,500,8.83333333333333
"22",22,500,416,84,500,8.66666666666667
"23",23,500,405.833333333333,94.1666666666667,500,10.1666666666667
"24",24,500,391.5,108.5,500,14.3333333333333
"25",25,500,379.166666666667,120.833333333333,500,12.3333333333333
"26",26,500,363,137,500,16.1666666666667
"27",27,500,348,152,500,15
"28",28,500,333.833333333333,166.166666666667,500,14.1666666666667
"29",29,500,318.666666666667,181.333333333333,500,15.1666666666667
"30",30,500,301.5,198.5,500,17.1666666666667
"31",31,500,282,218,500,19.5
"32",32,500,264.666666666667,235.333333333333,500,17.3333333333333
"33",33,500,247.166666666667,252.833333333333,500,17.5
"34",34,500,228,272,500,19.1666666666667
"35",35,500,210.666666666667,289.333333333333,500,17.3333333333333
"36",36,500,190.833333333333,309.166666666667,500,19.8333333333333
"37",37,500,173.666666666667,326.333333333333,500,17.1666666666667
"38",38,500,157,343,500,16.6666666666667
"39",39,500,141.666666666667,358.333333333333,500,15.3333333333333
"40",40,500,126,374,500,15.6666666666667
"41",41,500,113.833333333333,386.166666666667,500,12.1666666666667
"42",42,500,100.166666666667,399.833333333333,500,13.6666666666667
"43",43,500,87,413,500,13.1666666666667
"44",44,500,77.6666666666667,422.333333333333,500,9.33333333333333
"45",45,500,67.3333333333333,432.666666666667,500,10.3333333333333
"46",46,500,57.8333333333333,442.166666666667,500,9.5
"47",47,500,49.8333333333333,450.166666666667,500,8
"48",48,500,44.3333333333333,455.666666666667,500,5.5
"49",49,500,38.8333333333333,461.166666666667,500,5.5
"50",50,500,35.5,464.5,500,3.33333333333333
"51",51,500,29.3333333333333,470.666666666667,500,6.16666666666667
"52",52,500,24.6666666666667,475.333333333333,500,4.66666666666667
"53",53,500,20.5,479.5,500,4.16666666666667
"54",54,500,17.5,482.5,500,3
"55",55,500,16,484,500,1.5
"56",56,500,14,486,500,2
"57",57,500,11.6666666666667,488.333333333333,500,2.33333333333333
"58",58,500,10.1666666666667,489.833333333333,500,1.5
"59",59,500,9,491,500,1.16666666666667
"60",60,500,7.66666666666667,492.333333333333,500,1.33333333333333
"61",61,500,7,493,500,0.666666666666667
"62",62,500,6.16666666666667,493.833333333333,500,0.833333333333333
"63",63,500,5.66666666666667,494.333333333333,500,0.5
"64",64,500,5,495,500,0.666666666666667
"65",65,500,3.83333333333333,496.166666666667,500,1.16666666666667
"66",66,500,3.66666666666667,496.333333333333,500,0.166666666666667
"67",67,500,3.5,496.5,500,0.166666666666667
"68",68,500,3.16666666666667,496.833333333333,500,0.333333333333333
"69",69,500,2.5,497.5,500,0.666666666666667
"70",70,500,2.33333333333333,497.666666666667,500,0.166666666666667
"71",71,500,1.83333333333333,498.166666666667,500,0.5
"72",72,500,1.66666666666667,498.333333333333,500,0.166666666666667
"73",73,500,1.66666666666667,498.333333333333,500,0
"74",74,500,0.833333333333333,499.166666666667,500,0.833333333333333
"75",75,500,0.833333333333333,499.166666666667,500,0
"76",76,500,0.666666666666667,499.333333333333,500,0.166666666666667
"77",77,500,0.333333333333333,499.666666666667,500,0.333333333333333
"78",78,500,0.333333333333333,499.666666666667,500,0
"79",79,500,0.333333333333333,499.666666666667,500,0
"80",80,500,0.333333333333333,499.666666666667,500,0
"81",81,500,0.166666666666667,499.833333333333,500,0.166666666666667
"82",82,500,0.166666666666667,499.833333333333,500,0
"83",83,500,0.166666666666667,499.833333333333,500,0
"84",84,500,0,500,500,0.166666666666667
"85",85,500,0,500,500,0
"86",86,500,0,500,500,0
"87",87,500,0,500,500,0
"88",88,500,0,500,500,0
"89",89,500,0,500,500,0
"90",90,500,0,500,500,0
"91",91,500,0,500,500,0
"92",92,500,0,500,500,0
"93",93,500,0,500,500,0
"94",94,500,0,500,500,0
"95",95,500,0,500,500,0
"96",96,500,0,500,500,0
"97",97,500,0,500,500,0
"98",98,500,0,500,500,0
"99",99,500,0,500,500,0
"100",100,500,0,500,500,0
